what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1393121430986
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1393121430987
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1393121430987
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1393121430988
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1393121430990
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1393121431002
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1393121431004
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1393121431006
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1393121431008
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1393121431010
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1393121431011
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1393121431013
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1393121431015
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1393121431016
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1393121431020
started,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1393121431021
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1393121431022
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1393121431024
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1393121431025
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1393121431042
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1393121431043
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1393121431043
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1393121431044
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1393121431045
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1393121431046
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1393121431047
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1393121431048
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1393121431085
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1393121431086
os,sysinfo,,,"win32",1393121431090
arch,sysinfo,,,"x86",1393121431090
ws,sysinfo,,,"win32",1393121431090
locale,sysinfo,,,"zh_CN",1393121431090
processors,sysinfo,,,"4",1393121431090
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1393121431090
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1393121431090
java.specification.name,sysinfo,,,"Java Platform API Specification",1393121431090
java.specification.vendor,sysinfo,,,"Oracle Corporation",1393121431090
java.specification.version,sysinfo,,,"1.7",1393121431090
java.vendor,sysinfo,,,"Oracle Corporation",1393121431090
java.version,sysinfo,,,"1.7.0_51",1393121431090
java.vm.info,sysinfo,,,"mixed mode, sharing",1393121431090
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1393121431090
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1393121431090
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1393121431090
java.vm.specification.version,sysinfo,,,"1.7",1393121431090
